Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15	start_16	end_16	start_17	end_17	start_18	end_18	start_19	end_19	start_20	end_20	start_21	end_21	start_22	end_22	start_23	end_23	start_24	end_24	start_25	end_25	start_26	end_26	start_27	end_27	start_28	end_28	start_29	end_29	start_30	end_30	start_31	end_31	start_32	end_32	start_33	end_33	start_34	end_34	start_35	end_35	start_36	end_36	start_37	end_37	start_38	end_38	start_39	end_39	start_40	end_40	start_41	end_41	start_42	end_42	start_43	end_43	start_44	end_44	start_45	end_45
0	2	-	2	-	3	-	1	-	1	-	2	-	2	-	2	-	2	-	2	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	4	4	4	4	4	4	4	4	4	4	6	6	6	6	2	2	2	2	2	2	2	2	1	1	2	3	2	2	2	2	2	2	6	6
10	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20	1	-	1	-	1	-	2	-	1	-	4	-	1	-	1	-	1	-	1	-	4	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1	1	1	1	5	1	3	1	1	1	1	1	1	1	1	5	5
30	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
40	1	-	1	-	1	-	1	-	1	-	3	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	3	3	3	3
50	1	-	1	-	6	-	6	-	6	-	1	-	1	-	1	-	1	-	1	-	5	-	5	-	6	-	1	-	5	-	5	-	5	-	4	-	2	-	1	-	1	-	7	-	7	-	3	7	3	3	3	3	1	3	5	5	5	5	5	5	5	7	5	5	5	5	5	5	5	5	1	1	1	1	1	1	1	1	6	6	2	6	1	1	1	3	1	1	5	5
60	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
70	4	-	4	-	4	-	4	-	4	-	2	-	4	-	4	-	4	-	4	-	6	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	-	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	4	4	4	4	4	4	6	6	4	4	4	4	4	4	4	4	6	6	6	6
80	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
90	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
